Id,Supplier,ProductTier,FillSize,UnitPrice,TotalCost,DayType,TimeSlot,Quarter
2,2,1,3,2,4,1,1,1
4,2,1,3,1,4,1,1,1
5,2,1,3,1,4,1,1,1
7,2,1,3,1,4,1,2,1
8,3,2,2,2,3,1,3,1
9,3,2,2,2,2,1,3,1
15,3,1,3,1,4,2,2,1
16,2,2,3,3,4,1,3,1
24,2,1,2,2,2,1,2,1
25,3,1,2,1,2,1,1,1
26,2,1,3,1,3,1,3,1
27,2,1,2,1,2,1,2,1
28,2,1,2,1,2,1,1,1
32,2,2,3,3,3,1,2,1
47,3,1,3,1,4,1,2,1
48,3,1,3,1,4,1,1,1
49,3,1,3,1,3,1,1,1
52,2,2,3,3,4,1,1,1
53,2,2,3,2,4,1,1,1
54,2,1,2,2,3,1,1,1
55,3,1,2,1,2,1,2,1
56,2,1,2,1,2,1,1,1
60,2,1,3,1,4,2,2,1
118,2,2,3,2,4,1,2,1
119,3,2,3,2,4,1,2,1
120,3,2,2,2,2,1,2,1
131,2,1,3,1,4,1,2,1
132,2,1,3,1,3,1,2,1
133,2,1,3,1,4,1,2,1
134,2,2,3,2,4,1,1,1
135,2,1,3,1,4,1,2,1
136,2,1,2,1,1,1,2,1
137,2,1,2,1,1,1,1,1
138,3,1,2,1,2,1,1,1
139,2,1,2,1,1,1,2,1
141,3,1,2,1,2,1,2,1
142,2,1,2,1,1,1,1,1
145,2,1,3,1,3,1,1,1
147,3,1,2,1,2,1,2,1
148,3,1,2,1,2,1,1,1
149,3,1,2,1,2,1,2,1
150,3,1,3,1,4,1,2,1
151,3,2,3,1,4,1,1,1
152,2,2,3,2,4,1,1,1
153,2,2,3,2,4,1,1,1
154,2,2,3,2,3,1,1,1
155,2,2,3,2,3,1,1,1
157,1,2,3,3,4,1,1,1
158,1,2,2,3,2,1,1,1
159,1,2,3,3,3,1,1,1
160,1,2,3,3,4,1,2,1
161,1,2,2,3,2,1,2,1
163,1,1,2,1,2,1,1,1
164,1,1,2,1,1,1,2,1
165,1,1,2,1,1,1,2,1
166,1,1,3,1,3,1,2,1
168,1,1,2,1,1,1,3,1
169,1,1,2,1,1,1,1,1
170,1,2,2,3,2,1,1,1
171,1,2,3,3,4,1,2,1
173,1,1,2,1,1,1,2,1
174,1,1,2,2,2,1,2,1
178,1,1,3,1,4,1,1,1
179,1,1,2,1,2,1,1,1
180,1,2,3,3,4,1,2,1
181,1,2,2,3,3,1,2,1
182,1,1,2,2,1,1,2,1
183,1,1,3,1,4,1,2,1
186,1,1,2,1,2,2,1,1
187,1,2,2,3,2,2,1,1
188,1,2,2,3,1,2,2,1
190,1,1,2,1,1,1,1,1
191,1,1,2,1,1,1,1,1
192,1,2,3,3,4,1,1,1
193,1,1,2,1,1,1,1,1
194,1,1,2,1,1,1,2,1
195,1,2,2,2,1,1,2,1
196,1,1,2,1,1,1,3,1
198,1,1,2,1,2,1,1,1
199,1,1,2,1,1,1,1,1
201,1,1,3,1,4,1,1,1
202,1,1,3,1,4,1,1,1
205,1,2,2,2,1,1,3,1
206,1,1,3,1,3,1,1,1
208,1,2,3,2,4,1,1,1
209,1,2,3,2,4,1,2,1
210,1,1,2,1,1,1,1,1
211,1,2,2,2,2,1,2,1
212,1,1,2,1,1,1,2,1
213,1,2,3,2,4,1,2,1
214,1,1,2,1,1,1,3,1
215,1,2,2,2,1,2,1,1
216,1,2,2,2,3,2,3,1
217,1,2,2,2,2,2,3,1
219,1,1,2,1,1,1,1,1
220,1,2,3,2,4,1,1,1
221,1,1,2,1,1,1,1,1
223,1,1,2,1,1,1,2,1
225,1,1,3,1,3,1,1,1
226,1,1,2,1,1,1,2,1
227,1,1,3,1,4,1,2,1
229,1,1,1,1,1,1,1,1
230,1,2,3,2,4,1,1,1
231,1,1,2,1,1,1,1,1
233,1,1,2,1,2,1,2,1
236,1,1,2,1,1,1,3,1
237,1,1,2,1,1,1,1,1
239,1,2,2,2,2,1,2,1
242,1,1,3,1,3,1,1,1
244,1,1,2,1,1,1,1,1
245,1,2,3,2,4,1,2,1
246,1,2,2,2,2,1,2,1
247,1,1,2,1,2,1,2,1
248,1,1,2,1,1,1,2,1
250,1,2,3,2,3,1,1,1
251,1,1,2,1,1,1,1,1
252,1,1,2,1,1,1,2,1
253,1,1,2,1,1,1,3,1
255,1,1,1,1,1,1,3,1
256,1,2,3,2,4,1,1,1
257,1,1,1,1,1,1,1,1
258,1,1,3,1,3,1,1,1
259,1,2,2,2,2,1,2,1
260,1,1,2,1,1,1,2,1
261,1,1,2,1,1,1,2,1
263,1,1,2,1,1,1,1,1
265,1,1,2,1,1,1,2,1
266,1,1,2,1,1,1,3,1
267,1,2,2,2,1,1,3,1
268,1,1,2,1,1,2,1,1
269,1,1,2,1,1,2,3,1
270,1,2,2,2,2,2,2,1
272,1,2,3,2,4,1,1,1
273,1,2,3,2,4,1,2,1
276,1,1,2,1,1,1,3,1
278,1,1,2,1,2,1,1,1
279,1,2,2,2,2,1,2,1
281,1,1,2,1,1,1,2,1
283,1,1,3,1,3,1,2,1
284,4,1,2,1,2,1,4,1
286,4,2,2,2,1,1,4,1
288,4,1,4,1,4,1,4,1
289,4,2,2,2,1,1,4,1
296,4,2,2,3,1,1,4,1
300,4,1,2,1,2,1,4,1
301,4,2,3,3,4,1,4,1
302,4,1,2,1,1,1,4,1
308,4,1,3,1,3,1,4,1
309,4,1,2,1,2,1,4,1
313,4,1,2,1,1,1,4,1
316,4,1,2,1,2,1,4,1
322,4,2,2,4,2,1,4,1
324,4,2,2,3,2,2,4,1
329,4,2,2,3,2,1,4,1
335,4,1,2,2,1,1,4,1
338,4,1,2,2,1,1,4,1
342,4,2,2,3,2,1,4,1
347,4,1,1,2,1,1,4,1
349,4,2,2,3,2,1,4,1
351,4,2,2,3,2,1,4,1
353,4,1,3,1,3,1,4,1
357,4,1,2,1,1,1,4,1
359,4,2,2,2,1,1,4,1
360,4,1,2,1,1,1,4,1
364,4,1,2,1,1,1,4,1
365,4,1,3,1,4,1,4,1
366,4,1,3,1,3,1,4,1
367,4,1,2,1,2,1,4,1
369,4,2,2,2,1,1,4,1
378,4,2,2,2,1,1,4,1
380,4,2,3,2,3,1,4,1
383,4,2,2,2,1,1,4,1
387,4,1,2,1,2,1,4,1
388,4,1,2,1,1,1,4,1
394,4,1,2,1,1,1,4,1
399,4,1,2,1,1,1,4,1
400,4,1,1,1,1,1,4,1
404,4,2,2,3,1,1,4,1
405,4,1,2,1,2,1,4,1
406,4,1,2,1,1,1,4,1
408,4,2,3,2,3,1,4,1
443,3,1,4,1,4,1,1,1
444,3,2,3,1,4,1,2,1
445,2,1,3,1,3,1,3,1
449,3,2,2,1,2,1,2,1
454,2,1,3,1,3,1,1,1
455,3,1,3,1,3,1,2,1
456,2,1,3,1,4,2,2,1
457,3,1,3,1,3,1,2,1
458,3,1,3,1,4,2,2,1
459,3,1,3,1,4,1,1,1
460,2,1,3,1,2,1,3,1
461,2,1,3,1,2,1,2,1
462,2,1,2,1,2,1,2,1
463,2,1,3,1,2,1,3,1
469,3,1,2,1,1,1,2,1
470,3,1,2,1,2,1,2,1
471,3,1,2,1,2,1,2,1
472,3,2,3,1,4,1,1,1
473,3,1,4,1,4,1,2,1
474,2,2,3,2,4,1,2,1
475,3,1,3,1,3,1,2,1
476,3,1,3,1,4,1,2,1
477,2,2,3,2,3,1,1,1
478,3,2,3,1,3,1,2,1
513,2,1,4,1,4,1,2,1
514,3,2,3,2,4,1,1,1
515,3,2,3,2,4,1,1,1
516,2,1,3,1,4,1,2,1
526,3,1,3,1,3,1,2,1
528,2,1,3,1,3,1,1,1
529,2,1,3,1,4,1,2,1
530,3,1,3,1,4,1,2,1
531,3,1,3,1,4,1,1,1
532,2,1,2,1,1,1,1,1
533,2,1,2,1,2,2,4,1
535,3,1,2,1,2,1,1,1
536,2,1,2,1,2,1,1,1
537,2,1,2,1,2,1,1,1
538,2,2,2,2,2,1,2,1
539,3,2,2,2,2,1,2,1
540,3,2,2,1,2,1,2,1
541,3,2,3,2,4,1,2,1
555,1,1,2,1,1,1,1,1
557,1,1,2,1,1,1,1,1
558,1,2,3,2,3,1,1,1
559,1,2,3,2,3,1,1,1
560,1,2,3,2,4,1,2,1
561,1,2,3,2,4,1,2,1
562,1,1,2,1,2,2,2,1
563,1,1,2,1,1,2,3,1
565,1,2,2,2,2,1,2,1
567,1,1,2,1,2,1,3,1
568,1,2,2,1,1,1,1,1
569,1,2,2,1,1,1,1,1
570,1,1,2,1,1,1,1,1
571,1,2,3,1,4,1,1,1
573,1,1,3,1,2,1,2,1
574,1,2,2,2,2,1,1,1
575,1,1,2,1,2,1,2,1
577,1,1,2,1,1,1,1,1
581,1,2,2,2,1,1,1,1
582,1,2,3,1,3,1,1,1
583,1,1,2,1,2,1,2,1
584,1,1,2,1,2,1,2,1
585,1,1,2,1,1,1,2,1
586,1,1,3,1,3,1,2,1
588,1,2,2,1,2,2,1,1
590,1,1,2,1,2,1,1,1
591,1,2,3,1,4,1,1,1
592,1,1,3,1,3,1,2,1
593,1,1,2,1,1,1,2,1
594,1,1,2,1,2,1,2,1
595,1,2,2,1,1,1,2,1
598,1,1,3,1,3,1,2,1
599,1,1,3,1,3,1,1,1
601,1,1,3,1,3,1,1,1
602,1,1,2,1,1,1,1,1
603,1,1,3,1,2,1,2,1
605,1,2,3,1,3,1,1,1
607,1,2,2,2,1,1,2,1
608,1,2,2,2,1,1,2,1
609,1,1,2,1,1,1,2,1
610,1,2,2,2,2,1,1,1
611,1,1,2,1,1,1,1,1
612,1,2,3,2,3,1,2,1
613,1,1,2,1,1,1,3,1
614,1,1,2,1,1,2,3,1
615,1,1,2,1,1,2,1,1
616,1,1,2,1,2,2,2,1
617,1,2,2,2,1,1,1,1
619,1,2,2,2,1,1,1,1
620,1,1,2,1,1,1,1,1
621,1,2,2,2,1,1,2,1
623,1,1,2,1,2,1,1,1
625,1,1,2,1,1,1,2,1
629,1,1,3,1,3,1,2,1
630,1,2,2,2,1,1,1,1
631,1,1,2,1,1,1,2,1
632,1,2,2,2,1,1,2,1
633,1,2,3,2,4,1,2,1
635,1,2,3,2,3,1,1,1
636,1,1,4,1,4,1,2,1
637,1,1,4,1,4,1,2,1
638,1,1,4,1,4,1,2,1
639,1,1,2,1,1,1,2,1
641,1,1,2,1,1,1,3,1
642,1,1,2,1,1,1,1,1
643,1,1,2,1,2,1,1,1
644,1,2,2,2,1,1,2,1
645,1,1,2,1,1,1,3,1
646,1,2,2,2,1,2,1,1
647,1,2,2,2,2,2,1,1
648,1,2,3,2,4,1,1,1
649,1,2,2,2,1,1,1,1
650,1,2,2,2,1,1,1,1
652,1,2,3,2,4,1,2,1
653,1,2,3,2,3,1,2,1
655,1,2,2,2,2,1,3,1
656,1,1,2,1,1,1,1,1
661,1,1,2,1,1,1,1,1
662,1,2,2,2,1,1,2,1
663,1,1,2,1,1,1,2,1
664,1,2,2,2,1,1,2,1
666,1,2,3,2,3,1,1,1
667,1,1,2,1,1,1,1,1
668,1,1,3,1,3,1,1,1
671,1,1,3,1,3,1,1,1
672,1,2,2,2,1,1,1,1
673,1,1,2,1,1,1,2,1
675,1,1,2,1,1,2,1,1
679,4,2,2,2,2,1,4,1
681,4,1,2,1,1,1,4,1
684,4,1,2,1,1,1,4,1
687,4,2,2,2,2,1,4,1
690,4,2,2,2,2,1,4,1
693,4,2,2,3,2,1,4,1
696,4,1,3,1,2,2,4,1
699,4,1,2,1,1,1,4,1
701,4,2,2,2,2,1,4,1
702,4,2,1,2,1,1,4,1
704,4,2,2,2,2,1,4,1
707,4,2,2,2,1,1,4,1
711,4,1,2,1,1,1,4,1
717,4,1,2,1,1,1,4,1
719,4,2,2,2,1,1,4,1
730,4,1,2,1,1,1,4,1
731,4,1,3,1,3,1,4,1
733,4,1,2,1,1,1,4,1
734,4,1,2,1,2,1,4,1
739,4,1,2,1,1,1,4,1
748,4,1,2,1,2,1,4,1
752,4,2,2,2,1,1,4,1
758,4,1,3,1,2,1,4,1
759,4,1,3,1,3,1,4,1
761,4,1,2,1,2,1,4,1
769,4,1,2,1,1,1,4,1
773,4,2,2,2,2,1,4,1
774,4,1,3,1,3,1,4,1
775,4,1,2,1,2,1,4,1
778,4,1,2,1,2,1,4,1
780,4,1,2,1,1,1,4,1
781,4,1,2,1,2,1,4,1
782,4,1,2,1,1,1,4,1
786,4,2,2,2,1,1,4,1
787,4,2,3,2,3,2,4,1
791,4,1,1,1,1,1,4,1
792,4,1,2,1,2,1,4,1
793,4,1,2,1,2,1,4,1
797,4,2,2,2,1,1,4,1
799,4,1,2,1,2,1,4,1
816,2,2,3,2,4,1,1,1
817,2,2,3,2,4,1,2,1
818,2,1,3,1,3,1,1,1
819,2,1,3,1,3,1,2,1
826,3,2,2,1,1,1,2,1
827,3,2,2,2,2,1,2,1
828,3,2,2,2,2,1,2,1
836,3,1,3,1,4,1,1,1
837,2,1,3,1,3,1,2,1
838,2,1,3,1,3,1,2,1
839,2,1,3,1,3,1,1,1
840,3,1,3,1,4,1,1,1
841,2,1,3,1,4,1,2,1
842,3,1,3,1,4,1,2,1
843,3,1,2,1,1,1,2,1
844,3,1,3,1,3,1,2,1
849,2,1,2,1,2,1,1,1
850,3,1,2,1,2,1,1,1
851,2,2,3,2,4,1,1,1
852,3,2,3,2,4,1,2,1
853,2,2,3,2,4,1,1,1
854,2,2,3,2,3,1,1,1
875,3,1,4,1,4,1,3,1
876,2,1,3,1,3,1,1,1
877,2,1,3,1,3,1,2,1
878,3,1,3,1,3,1,2,1
879,3,1,3,1,4,1,1,1
892,3,1,3,1,4,1,2,1
893,3,1,3,1,4,1,1,1
894,3,1,3,1,4,1,3,1
895,2,1,3,1,4,1,1,1
896,2,1,3,2,4,1,2,1
897,2,1,3,2,4,1,2,1
898,2,1,3,1,2,1,3,1
899,3,1,3,1,3,1,1,1
900,2,1,3,2,3,1,1,1
903,2,1,2,1,2,1,2,1
904,3,1,2,1,2,1,1,1
905,3,1,2,1,2,1,2,1
906,3,2,2,3,2,1,2,1
907,2,2,3,3,4,1,2,1
908,3,2,3,3,3,1,2,1
909,2,2,3,3,3,1,1,1
948,4,2,2,2,2,1,4,1
949,4,2,2,2,1,1,4,1
954,4,1,2,1,2,1,4,1
957,4,1,2,1,2,1,4,1
959,4,2,2,2,1,1,4,1
964,4,2,3,2,3,2,4,1
966,4,1,2,1,2,1,4,1
968,4,1,3,1,3,1,4,1
969,4,2,2,2,2,1,4,1
971,4,1,2,1,1,1,4,1
974,4,2,2,2,1,1,4,1
975,4,1,2,1,2,1,4,1
978,4,2,3,2,3,1,4,1
980,4,1,1,1,1,1,4,1
982,4,1,2,1,1,1,4,1
984,4,2,2,2,1,1,4,1
988,4,1,3,1,3,1,4,1
989,4,2,2,2,2,1,4,1
995,4,2,2,3,3,1,4,1
1003,4,1,2,2,3,1,4,1
1012,4,2,2,3,3,1,4,1
1018,4,2,2,3,2,1,4,1
1019,4,1,2,2,1,1,4,1
1020,4,1,2,2,1,1,4,1
1024,4,1,3,2,3,1,4,1
1028,4,2,1,3,1,1,4,1
1029,4,2,3,3,4,1,4,1
1037,4,1,2,1,1,2,4,1
1042,4,1,3,1,3,1,4,1
1043,4,2,2,3,2,1,4,1
1044,4,2,1,3,1,1,4,1
1052,4,2,3,2,3,1,4,1
1056,4,2,2,3,2,1,4,1
1059,4,2,2,2,1,1,4,1
1060,4,2,3,2,4,1,4,1
1061,4,1,3,1,4,1,4,1
1063,4,1,3,1,3,1,4,1
1065,4,1,2,1,2,1,4,1
1066,4,1,2,1,1,1,4,1
1069,1,1,2,1,1,2,1,1
1071,1,2,2,2,2,2,2,1
1073,1,1,3,1,3,1,1,1
1074,1,2,2,2,2,1,1,1
1076,1,2,3,1,4,1,1,1
1078,1,2,2,2,1,1,2,1
1079,1,1,2,1,2,1,2,1
1080,1,1,2,1,1,1,1,1
1081,1,1,2,1,2,1,1,1
1083,1,1,2,1,2,1,2,1
1084,1,2,3,2,4,1,2,1
1085,1,1,3,1,4,1,3,1
1086,1,1,2,1,1,1,1,1
1087,1,1,3,1,3,1,1,1
1088,1,2,2,1,1,1,1,1
1089,1,2,3,1,3,1,1,1
1090,1,2,3,1,4,1,1,1
1091,1,2,2,2,3,1,1,1
1093,1,1,2,1,1,1,2,1
1094,1,2,3,1,4,1,2,1
1095,1,1,2,1,1,1,2,1
1097,1,2,2,2,2,1,2,1
1098,1,2,2,2,2,1,2,1
1099,1,1,2,1,2,1,1,1
1101,1,1,3,1,2,1,2,1
1102,1,2,2,2,2,1,3,1
1103,1,2,2,2,1,1,2,1
1105,1,1,2,1,1,1,3,1
1107,1,1,3,1,3,2,2,1
1108,1,1,2,1,1,2,1,1
1112,1,1,2,1,1,1,1,1
1113,1,1,2,1,1,1,1,1
1114,1,1,3,1,4,1,1,1
1116,1,2,3,2,3,1,2,1
1117,1,2,2,2,1,1,2,1
1118,1,1,2,1,2,1,1,1
1119,1,2,3,2,3,1,1,1
1120,1,1,3,1,3,1,1,1
1121,1,1,2,1,2,1,1,1
1122,1,2,3,2,4,1,2,1
1124,1,2,2,2,2,1,2,1
1125,1,1,2,1,1,1,2,1
1126,1,2,2,2,1,1,2,1
1127,1,1,2,1,1,1,3,1
1128,1,1,2,1,2,1,3,1
1130,1,2,2,2,2,1,1,1
1131,1,1,2,1,1,1,1,1
1132,1,1,2,1,1,1,1,1
1133,1,2,3,2,3,1,1,1
1134,1,2,2,2,1,1,1,1
1135,1,2,3,2,3,1,2,1
1136,1,1,2,1,1,1,2,1
1137,1,1,4,1,4,1,2,1
1138,1,1,2,1,1,1,1,1
1141,1,2,2,2,2,1,2,1
1143,1,1,3,1,3,1,2,1
1144,1,1,2,1,2,1,3,1
1146,1,2,3,2,4,1,1,1
1150,1,2,3,2,4,1,2,1
1153,1,1,3,1,3,1,3,1
1154,1,1,2,1,1,1,3,1
1156,1,1,2,1,2,1,1,1
1160,1,2,2,2,2,1,2,1
1161,1,2,2,2,1,1,1,1
1162,1,1,2,1,1,1,1,1
1165,1,1,2,1,1,1,3,1
1166,1,1,2,1,2,1,1,1
1167,1,2,3,2,4,1,1,1
1168,1,2,2,2,1,1,2,1
1169,1,1,3,1,3,2,3,1
1173,1,1,2,1,2,1,1,1
1175,1,2,3,3,4,1,1,1
1176,1,1,2,1,2,1,1,1
1178,1,2,3,3,4,1,2,1
1179,1,1,2,1,2,1,2,1
1180,1,1,2,1,2,1,3,1
1182,1,2,3,3,3,1,1,1
1183,1,1,2,1,1,1,1,1
1184,1,2,2,3,1,1,1,1
1186,1,2,2,3,2,1,2,1
1187,1,1,3,2,4,1,2,1
1188,1,2,3,3,4,1,3,1
1189,1,1,2,1,2,1,1,1
1191,1,1,3,1,2,1,2,1
1193,1,2,3,3,3,1,3,1
1194,1,1,2,1,2,1,1,1
1195,1,1,2,1,2,1,1,1
1196,1,1,2,1,1,1,2,1
1197,1,2,3,3,4,1,2,1
1198,1,2,2,3,2,1,2,1
1199,1,2,3,3,4,1,3,1
1200,1,1,2,1,1,1,3,1
1203,1,1,3,1,4,1,1,1
1204,1,1,2,1,2,1,1,1
1205,1,2,3,3,4,1,1,1
1208,1,2,2,3,2,1,2,1
1210,1,1,2,1,1,1,2,1
1211,1,1,2,1,1,2,1,1
1213,1,2,2,3,2,2,1,1
1214,1,1,2,1,2,2,1,1
1215,1,1,2,1,1,2,2,1
1216,1,1,2,1,2,2,3,1
1217,1,1,3,1,4,1,1,1
