Id,Supplier,ProductTier,FillSize,UnitPrice,TotalCost,DayType,TimeSlot,Quarter
205,1,2,2,2,1,1,3,1
5997,4,1,2,4,3,1,1,5
3005,1,1,3,2,3,1,1,3
3633,4,1,3,1,4,1,1,3
6142,2,2,2,4,3,1,2,5
661,1,1,2,1,1,1,1,1
6205,2,1,2,4,2,1,1,5
2060,2,1,3,2,4,1,1,2
1718,3,2,3,3,3,1,2,2
5616,3,1,3,4,4,1,2,4
5836,2,1,3,4,4,1,1,4
3214,4,2,2,4,1,1,1,3
6139,3,1,2,4,3,1,1,5
5511,1,2,2,4,3,1,1,4
2350,4,2,2,3,3,1,2,2
4455,4,2,2,4,2,1,3,4
6633,1,1,2,4,1,1,1,5
2144,1,1,2,1,1,1,1,2
2911,4,2,2,3,3,1,1,3
3008,1,1,2,2,2,2,2,3
5966,4,1,3,3,3,1,1,4
449,3,2,2,1,2,1,2,1
2676,1,2,2,3,2,2,2,3
3970,4,1,3,2,3,1,1,4
769,4,1,2,1,1,1,4,1
