Id,Supplier,ProductTier,FillSize,UnitPrice,TotalCost,DayType,TimeSlot,Quarter,Cluster,SupplierLoyalty
26,3,1,3,2,4,1,1,2,2,1
1129,4,2,2,3,1,1,1,3,1,3
1131,2,1,3,1,1,1,1,3,1,3
1168,4,1,2,3,2,1,1,1,1,2
1171,3,1,2,1,3,1,2,2,2,1
1172,4,2,2,4,3,1,4,2,3,3
1182,1,1,2,2,2,1,1,2,1,3
1183,1,1,2,1,1,1,1,1,1,3
1184,1,1,2,2,2,1,1,2,3,3
1185,2,2,3,4,1,1,1,5,1,1
1186,1,1,2,2,1,1,1,2,1,3
1187,1,2,3,3,4,1,1,1,2,1
1189,1,2,3,3,3,1,2,2,2,1
1205,1,2,2,3,4,1,1,1,3,3
1214,2,1,2,4,1,1,1,5,1,3
1215,1,1,2,1,1,1,1,1,1,3
1216,1,1,2,2,1,1,1,3,1,3
1217,2,2,3,4,2,1,1,5,2,1
1218,4,2,3,4,4,1,1,1,2,1
1219,1,1,2,2,2,1,2,3,1,3
1220,1,2,2,3,3,1,2,4,3,3
1237,4,1,3,2,2,1,1,2,1,3
1246,1,1,3,1,2,1,2,1,1,3
1254,1,2,3,1,2,1,2,1,1,3
1260,1,1,3,1,1,1,1,1,1,3
1302,4,1,2,3,4,1,4,3,3,3
1305,4,2,2,3,3,1,4,1,3,2
1307,1,1,3,4,1,1,2,3,1,2
1312,4,1,3,4,2,1,1,4,1,3
1313,1,1,2,4,4,1,1,4,3,3
1314,4,1,2,3,3,1,4,1,3,3
1327,1,1,3,1,3,1,1,2,2,2
1328,4,1,3,2,2,1,4,3,1,3
1329,2,1,2,4,1,1,2,5,1,1
1347,1,1,3,3,3,1,2,4,2,1
1349,2,1,2,2,3,1,1,3,2,2
1363,2,2,3,4,4,1,1,3,2,1
1364,1,2,2,3,3,1,2,4,3,3
1367,4,2,2,4,4,1,2,3,2,2
1480,4,1,4,2,4,1,2,3,2,1
1486,4,1,2,1,1,1,2,3,1,3
1514,1,2,3,3,4,1,1,3,3,3
1515,1,1,2,1,2,1,1,1,1,3
1516,1,2,2,2,3,1,1,1,2,2
1617,1,1,3,4,1,1,1,5,1,2
1618,1,2,3,4,4,1,1,2,3,3
1635,1,1,2,2,2,1,1,2,1,3
1645,1,1,2,1,3,1,2,3,3,3
1646,1,1,2,1,4,1,2,4,2,2
1661,1,1,3,1,1,1,1,1,1,3
1664,1,2,2,4,2,1,1,2,1,3
1676,2,1,3,2,4,1,2,3,2,1
1677,2,1,3,1,4,1,1,1,2,1
1706,1,1,3,2,3,1,1,3,2,2
1707,1,1,2,3,2,1,2,1,3,3
